image,count
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250815083307_0001_D.jpg,1
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250815083320_0002_D.JPG,0
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250815083328_0003_D.JPG,0
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250815083337_0004_D.JPG,1
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250815083346_0005_D.JPG,1
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250815083353_0006_D.JPG,0
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250815083411_0007_D.JPG,1
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250815083416_0008_D.JPG,1
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250815083422_0009_D.JPG,1
