image,count
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250923095038_0054_D.jpg,0
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250923095049_0055_D.jpg,1
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250923095057_0056_D.jpg,1
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250923095105_0057_D.jpg,3
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250923095110_0058_D.jpg,3
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250923095116_0059_D.jpg,1
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250923095122_0060_D.jpg,1
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250923095128_0061_D.jpg,1
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250923095214_0062_D.jpg,0
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250923095226_0063_D.jpg,1
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250923095233_0064_D.jpg,0
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250923095242_0065_D.jpg,0
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250923095247_0066_D.jpg,0
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20250923095254_0067_D.jpg,0
